case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,numerical_error_floor,jw_magnitude_one_minus_overlap,fermionic_aware_one_minus_overlap,input_valid_comparison,graph_status,graph_source,graph_unavailable_reason,number_of_hermitian_fermionic_terms,number_of_mixed_occupied_virtual_parents,number_of_noncrossing_parents,total_parent_coefficient_mass,mixed_parent_coefficient_mass,noncrossing_parent_coefficient_mass,maximum_fermionic_support_size,graph_nodes,occupied_graph_nodes,virtual_graph_nodes,graph_edges,graph_density,graph_total_edge_weight,maximum_orbital_strength,occupied_hub_incident_weight_fraction,virtual_hub_incident_weight_fraction,effective_strength_orbitals,strength_gini,bipartite_weighted_freeman_centralization,mean_partition_weighted_freeman_centralization,occupied_weighted_freeman_centralization,virtual_weighted_freeman_centralization,whole_graph_same_weight_star_centralization,occupied_unweighted_degree_centralization,virtual_unweighted_degree_centralization,hub_orbital_index,ratio_valid,jw_magnitude_to_fermionic_ratio,log10_jw_magnitude_to_fermionic_ratio
B-B_1.70_hgbs-5_as-002-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-002.tensors.npz,B-B,1.70,hgbs-5,2,2,4,1e-12,7.382983113757292e-14,7.382983113757292e-14,False,success,active_tensor,,12.0,6.0,6.0,4.380864719175278,1.1796409388017643,3.2012237803735144,4.0,4.0,2.0,2.0,4.0,0.6666666666666666,1.2572216938585505,0.6286108469292753,0.5,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
B-B_1.70_hgbs-5_as-002-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-004.tensors.npz,B-B,1.70,hgbs-5,2,4,6,1e-12,2.480904370827375e-12,2.4777957463584244e-12,True,success,active_tensor,,27.0,12.0,15.0,8.03529240537748,2.3292212413135,5.706071164063981,4.0,6.0,2.0,4.0,8.0,0.5333333333333333,2.4779452631582206,1.2389726315791103,0.5,0.25368229729501396,5.332947674086973,0.16912153153000933,0.00490972972668528,0.00245486486334264,0.0,0.00490972972668528,0.25,0.0,0.0,0.0,True,1.0012545927054395,0.0005445211842339812
B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,8,1e-12,6.309949562854911e-09,6.309949562854911e-09,True,success,active_tensor,,48.0,24.0,24.0,18.164718150840116,4.7286145779544455,13.436103572885656,4.0,8.0,4.0,4.0,16.0,0.5714285714285714,5.563840114219941,1.54294742553086,0.2773169957899093,0.27422624399386125,7.915580075254598,0.05308861568179465,0.03642266105321246,0.034362159855847084,0.03642266105321246,0.03230165865848171,0.03642266105321246,0.0,0.0,0.0,True,1.0,0.0
B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,1e-12,6.3629838065182315e-09,6.377782524324971e-09,True,success,active_tensor,,105.0,66.0,39.0,20.429689015768652,5.603664288307896,14.826024727460757,4.0,10.0,4.0,6.0,24.0,0.5333333333333333,6.597143948531278,1.866301234510439,0.2828953330518024,0.23503407734376475,8.895244441610405,0.18556694395042672,0.08204089281251768,0.06295066844079379,0.043860444069069894,0.08204089281251768,0.10361916631475304,0.0,0.0,1.0,True,0.9976796452763486,-0.0010088881949686932
B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,1e-12,1.0775619174729913e-08,6.889735115755968e-09,True,success,active_tensor,,202.0,120.0,82.0,23.9514783821304,6.740382682379166,17.211095699751247,4.0,12.0,4.0,8.0,32.0,0.48484848484848486,8.216047534152413,2.29757132877922,0.2796443568794716,0.18872257427938663,9.829654366811702,0.2593023907374351,0.07282579917644184,0.05617580417453531,0.03952580917262879,0.07282579917644184,0.13557322825536594,0.0,0.0,0.0,True,1.5640106613224376,0.19423970916994385
B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,1e-12,3.797921876991239e-08,5.9443914124379666e-08,True,success,active_tensor,,339.0,242.0,97.0,43.81782368115582,12.041263547351424,31.776560133804377,4.0,14.0,6.0,8.0,48.0,0.5274725274725275,16.0093166329349,3.6964440453666825,0.21195789995135383,0.23089330607417896,11.596042363433156,0.2567800616490308,0.12102092122763312,0.08768520058462888,0.054349479941624625,0.12102092122763312,0.10270885708654216,0.0,0.0,6.0,True,0.6389084455381786,-0.19456137102205406
B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,16,1e-12,3.58992492399679e-08,6.034795319020958e-08,True,success,active_tensor,,516.0,384.0,132.0,47.637842703755126,13.516089301263367,34.12175340249172,4.0,16.0,6.0,10.0,60.0,0.5,17.91945262181789,3.7472015026176226,0.203482405091862,0.20911361422140792,12.69542460910756,0.2837348769364049,0.12123734913489766,0.082708117622566,0.04417888611023435,0.12123734913489766,0.09612984482446615,0.0,0.0,6.0,True,0.5948710327725238,-0.22557717851719794
B-B_1.70_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-008-010.tensors.npz,B-B,1.70,hgbs-5,8,10,18,1e-12,3.8104094324253885e-08,8.629878522903311e-08,True,success,active_tensor,,831.0,656.0,175.0,94.94966397978979,18.959657441040193,75.99000653874963,4.0,18.0,8.0,10.0,80.0,0.5228758169934641,24.580676990015327,5.161355881552275,0.16108959167821346,0.20997614848642362,14.672855695314233,0.2670307130639812,0.1221957205404707,0.08172048408635732,0.04124524763224395,0.1221957205404707,0.1112231670472266,0.0,0.0,9.0,True,0.44153685620402794,-0.3550330389086883
B-B_1.70_hgbs-5_as-010-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-010-010.tensors.npz,B-B,1.70,hgbs-5,10,10,20,1e-12,3.690741543160847e-06,1.2800340665197754e-07,True,success,active_tensor,,1256.0,998.0,258.0,161.05374788423737,25.785728950815482,135.26801893342136,4.0,20.0,10.0,10.0,100.0,0.5263157894736842,34.9866146771501,8.222958791180783,0.12621167720444576,0.23503156470154946,15.479001463212448,0.27841003054118824,0.15003507189061052,0.08957957883666401,0.02912408578271751,0.15003507189061052,0.15003507189061052,0.0,0.0,10.0,True,28.83315092695487,1.4598921052884741
B-H_1.29_hgbs-5_as-002-002,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-002.tensors.npz,B-H,1.29,hgbs-5,2,2,4,1e-12,3.053328700985958e-10,3.053328700985958e-10,True,success,reconstructed_from_full_molecular_pickle,,12.0,6.0,6.0,3.3042097080995902,0.6005592138148235,2.703650494284767,4.0,4.0,2.0,2.0,4.0,0.6666666666666666,0.6438990411231941,0.32194952056159704,0.5,0.5,3.9999999999999996,4.3105477478601464e-17,8.62109549572029e-17,8.62109549572029e-17,8.62109549572029e-17,8.62109549572029e-17,8.62109549572029e-17,0.0,0.0,1.0,True,1.0,0.0
