method,position,pauli_string,coefficient_real,coefficient_imag
none,0,IIII,-0.09886396933545874,0.0
none,1,ZIII,0.17119774903433,0.0
none,2,IZII,0.17119774903433,0.0
none,3,IIZI,-0.22278593040418426,0.0
none,4,IIIZ,-0.22278593040418426,0.0
none,5,ZZII,0.16862219158920938,0.0
none,6,ZIZI,0.12054482205301792,0.0
none,7,ZIIZ,0.16586702410589188,0.0
none,8,IZZI,0.16586702410589188,0.0
none,9,IZIZ,0.12054482205301792,0.0
none,10,IIZZ,0.17434844185575657,0.0
none,11,XXYY,-0.04532220205287397,0.0
none,12,XYYX,0.04532220205287397,0.0
none,13,YXXY,0.04532220205287397,0.0
none,14,YYXX,-0.04532220205287397,0.0
magnitude,0,IIZI,-0.22278593040418426,0.0
magnitude,1,IIIZ,-0.22278593040418426,0.0
magnitude,2,IIZZ,0.17434844185575657,0.0
magnitude,3,ZIII,0.17119774903433,0.0
magnitude,4,IZII,0.17119774903433,0.0
magnitude,5,ZZII,0.16862219158920938,0.0
magnitude,6,ZIIZ,0.16586702410589188,0.0
magnitude,7,IZZI,0.16586702410589188,0.0
magnitude,8,ZIZI,0.12054482205301792,0.0
magnitude,9,IZIZ,0.12054482205301792,0.0
magnitude,10,IIII,-0.09886396933545874,0.0
magnitude,11,XXYY,-0.04532220205287397,0.0
magnitude,12,XYYX,0.04532220205287397,0.0
magnitude,13,YXXY,0.04532220205287397,0.0
magnitude,14,YYXX,-0.04532220205287397,0.0
lexicographical,0,IIII,-0.09886396933545874,0.0
lexicographical,1,IIIZ,-0.22278593040418426,0.0
lexicographical,2,IIZI,-0.22278593040418426,0.0
lexicographical,3,IIZZ,0.17434844185575657,0.0
lexicographical,4,IZII,0.17119774903433,0.0
lexicographical,5,IZIZ,0.12054482205301792,0.0
lexicographical,6,IZZI,0.16586702410589188,0.0
lexicographical,7,XXYY,-0.04532220205287397,0.0
lexicographical,8,XYYX,0.04532220205287397,0.0
lexicographical,9,YXXY,0.04532220205287397,0.0
lexicographical,10,YYXX,-0.04532220205287397,0.0
lexicographical,11,ZIII,0.17119774903433,0.0
lexicographical,12,ZIIZ,0.16586702410589188,0.0
lexicographical,13,ZIZI,0.12054482205301792,0.0
lexicographical,14,ZZII,0.16862219158920938,0.0
group_evolve_greedy,0,ZIII,0.17119774903433,0.0
group_evolve_greedy,1,IZII,0.17119774903433,0.0
group_evolve_greedy,2,IIZI,-0.22278593040418426,0.0
group_evolve_greedy,3,IIIZ,-0.22278593040418426,0.0
group_evolve_greedy,4,IIII,-0.09886396933545874,0.0
group_evolve_greedy,5,ZZII,0.16862219158920938,0.0
group_evolve_greedy,6,ZIZI,0.12054482205301792,0.0
group_evolve_greedy,7,ZIIZ,0.16586702410589188,0.0
group_evolve_greedy,8,IZZI,0.16586702410589188,0.0
group_evolve_greedy,9,IZIZ,0.12054482205301792,0.0
group_evolve_greedy,10,IIZZ,0.17434844185575657,0.0
group_evolve_greedy,11,XXYY,-0.04532220205287397,0.0
group_evolve_greedy,12,XYYX,0.04532220205287397,0.0
group_evolve_greedy,13,YXXY,0.04532220205287397,0.0
group_evolve_greedy,14,YYXX,-0.04532220205287397,0.0
