# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : bk   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : all per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
B,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.37164972282687403,1,3.800791407964896e-15,0.001,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.18582486141343701,1,1.459763857693517e-14,0.002,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09291243070671851,1,2.273600140854491e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.37164972282687403,2,1.484588634429633e-14,0.001,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.18582486141343701,2,1.713632025752675e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09291243070671851,2,1.2798420660306359e-14,0.005,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.37164972282687403,4,4.4720907973358165e-14,0.007,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.18582486141343701,4,4.3936786895367854e-14,0.013,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09291243070671851,4,1.4398698088834183e-14,0.025,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,256,1,256,1.0,0.37164972282687403,1,6.595967575616694e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,bk,2,256,2,512,0.5,0.18582486141343701,1,6.676133941474183e-14,0.006,24.484116895907313,2.0
